Name,A,Omega,Betai,Mprog,Mcore,Rcore,Mi,Ri,rhoci,EOS
signal_e15a_ls,0,4.18,0.46,15,1.47,1.55,1.83,4.45,5.78,LS
signal_e15a_shen,0,4.18,0.46,15,1.47,1.55,1.83,4.45,5.78,Shen
signal_e15b_ls,0,9.93,2.75,15,1.4,1.66,1.56,3.17,8.04,LS
signal_e15b_shen,0,9.93,2.75,15,1.4,1.66,1.56,3.17,8.04,Shen
signal_e20a_ls,0,3.13,0.28,20,1.75,2.41,2.26,5.42,4.27,LS
signal_e20a_shen,0,3.13,0.28,20,1.75,2.41,2.26,5.42,4.27,Shen
signal_e20b_ls,0,11.01,2.16,20,1.38,1.35,1.6,3.18,7.22,LS
signal_e20b_shen,0,11.01,2.16,20,1.38,1.35,1.6,3.18,7.22,Shen
signal_s11a1o01_ls,50,0.45,0.01,11.2,1.24,0.99,1.36,1.58,17.71,LS
signal_s11a1o01_shen,50,0.45,0.01,11.2,1.24,0.99,1.36,1.58,17.71,Shen
signal_s11a1o05_ls,50,1.01,0.06,11.2,1.24,0.99,1.36,1.58,17.71,LS
signal_s11a1o05_shen,50,1.01,0.06,11.2,1.24,0.99,1.36,1.58,17.71,Shen
signal_s11a1o07_ls,50,1.43,0.12,11.2,1.24,0.99,1.36,1.58,17.71,LS
signal_s11a1o07_shen,50,1.43,0.12,11.2,1.24,0.99,1.36,1.58,17.71,Shen
signal_s11a1o09_ls,50,1.91,0.22,11.2,1.24,0.99,1.36,1.58,17.71,LS
signal_s11a1o09_shen,50,1.91,0.22,11.2,1.24,0.99,1.36,1.58,17.71,Shen
signal_s11a1o13_ls,50,2.71,0.43,11.2,1.24,0.99,1.36,1.58,17.71,LS
signal_s11a1o13_shen,50,2.71,0.43,11.2,1.24,0.99,1.36,1.58,17.71,Shen
signal_s11a2o05_ls,1,2.4,0.16,11.2,1.24,0.99,1.36,1.58,17.71,LS
signal_s11a2o05_shen,1,2.4,0.16,11.2,1.24,0.99,1.36,1.58,17.71,Shen
signal_s11a2o07_ls,1,3.4,0.31,11.2,1.24,0.99,1.36,1.58,17.71,LS
signal_s11a2o07_shen,1,3.4,0.31,11.2,1.24,0.99,1.36,1.58,17.71,Shen
signal_s11a2o09_ls,1,4.56,0.56,11.2,1.24,0.99,1.36,1.58,17.71,LS
signal_s11a2o09_shen,1,4.56,0.56,11.2,1.24,0.99,1.36,1.58,17.71,Shen
signal_s11a2o13_ls,1,6.45,1.13,11.2,1.24,0.99,1.36,1.58,17.71,LS
signal_s11a2o13_shen,1,6.45,1.13,11.2,1.24,0.99,1.36,1.58,17.71,Shen
signal_s11a2o15_ls,1,7.6,1.57,11.2,1.24,0.99,1.36,1.58,17.71,LS
signal_s11a2o15_shen,1,7.6,1.57,11.2,1.24,0.99,1.36,1.58,17.71,Shen
signal_s11a3o05_ls,0.5,4.21,0.2,11.2,1.24,0.99,1.36,1.58,17.71,LS
signal_s11a3o05_shen,0.5,4.21,0.2,11.2,1.24,0.99,1.36,1.58,17.71,Shen
signal_s11a3o07_ls,0.5,5.95,0.4,11.2,1.24,0.99,1.36,1.58,17.71,LS
signal_s11a3o07_shen,0.5,5.95,0.4,11.2,1.24,0.99,1.36,1.58,17.71,Shen
signal_s11a3o09_ls,0.5,8.99,0.72,11.2,1.24,0.99,1.36,1.58,17.71,LS
signal_s11a3o09_shen,0.5,8.99,0.72,11.2,1.24,0.99,1.36,1.58,17.71,Shen
signal_s11a3o12_ls,0.5,10.65,1.28,11.2,1.24,0.99,1.36,1.58,17.71,LS
