Name,A,beta
A1beta0016,1,0.0016
A1beta0036,1,0.0036
A1beta0064,1,0.0064
A1beta01,  1,0.01
A1beta0141,1,0.0141
A1beta019, 1,0.019
A1beta0246,1,0.0246
A1beta0307,1,0.0307
A1beta0373,1,0.0373
A1beta0445,1,0.0445
A1beta052, 1,0.052
A1beta0601,1,0.0601
A1beta0684,1,0.0684
A1beta0773,1,0.0773
A1beta0865,1,0.0865
A1beta096, 1,0.096
A1beta106, 1,0.106
A1beta115, 1,0.115
A1beta125, 1,0.125
A1beta134, 1,0.134
A1beta143, 1,0.143
A1beta152, 1,0.152
A1beta161, 1,0.161
A1beta17,  1,0.17
A1beta178, 1,0.178
A1beta185, 1,0.185
A1beta192, 1,0.192
A1beta198, 1,0.198
A1beta203, 1,0.203
A1beta206, 1,0.206
A2beta0036,2,0.0036
A2beta0063,2,0.0063
A2beta011, 2,0.011
A2beta017, 2,0.017
A2beta0242,2,0.0242
A2beta0323,2,0.0323
A2beta0414,2,0.0414
A2beta0513,2,0.0513
A2beta0618,2,0.0618
A2beta073, 2,0.073
A2beta0848,2,0.0848
A2beta0971,2,0.0971
A2beta1096,2,0.1096
A2beta1221,2,0.1221
A2beta134, 2,0.134
A2beta1455,2,0.1455
A2beta1565,2,0.1565
A2beta1673,2,0.1673
A2beta177, 2,0.177
A2beta1858,2,0.1858
A2beta1917,2,0.1917
A2beta1947,2,0.1947
A3beta0036,3,0.0036
A3beta008, 3,0.008
A3beta014, 3,0.014
A3beta0215,3,0.0215
A3beta0303,3,0.0303
A3beta0404,3,0.0404
A3beta0514,3,0.0514
A3beta0632,3,0.0632
A3beta0756,3,0.0756
A3beta0887,3,0.0887
A3beta102, 3,0.102
A3beta116, 3,0.116
A3beta129, 3,0.129
A3beta141, 3,0.141
A3beta153, 3,0.153
A3beta164, 3,0.164
A3beta174, 3,0.174
A3beta182, 3,0.182
A4beta0047,4,0.0047
A4beta0103,4,0.0103
A4beta018, 4,0.018
A4beta0274,4,0.0274
A4beta0384,4,0.0384
A4beta0505,4,0.0505
A4beta0634,4,0.0634
A4beta0771,4,0.0771
A4beta0912,4,0.0912
A4beta1057,4,0.1057
A4beta1194,4,0.1194
A4beta1315,4,0.1315
A5beta0052,5,0.0052
A5beta0113,5,0.0113
A5beta0197,5,0.0197
A5beta0299,5,0.0299
A5beta0415,5,0.0415
A5beta0542,5,0.0542
A5beta0674,5,0.0674
A5beta0812,5,0.0812
A5beta0945,5,0.0945
A5beta107, 5,0.107















